SRC,TRG
a badger burped past,a badger burped
the clever frog coughed past,the clever frog coughed
the badger hoped pres,the badger hopes
the humble jocular dogs burped pres,the humble jocular dogs burp
the clever badger danced pres,the clever badger dances
the dog laughed pres,the dog laughs
a badger near her laughed pres,a badger near her laughs
she danced past,she danced
the gentle badger danced past,the gentle badger danced
the robin hoped pres,the robin hopes
the gentle zebra coughed past,the gentle zebra coughed
the gentle gentle badgers danced past,the gentle gentle badgers danced
a robin with the zebra near the lovely badger laughed pres,a robin with the zebra near the lovely badger laughs
the zebras near a robin near the dogs danced past,the zebras near a robin near the dogs danced
with the gentle gentle zebra the badger near the chickens danced past,with the gentle gentle zebra the badger near the chickens danced
near a chicken a zebra coughed past,near a chicken a zebra coughed
near a zebra a badger laughed past,near a zebra a badger laughed
most badgers coughed past,most badgers coughed
the zebra coughed pres,the zebra coughs
most frogs near the chicken hoped past,most frogs near the chicken hoped
the zebras laughed past,the zebras laughed
with the gentle jocular clever zebras they coughed past,with the gentle jocular clever zebras they coughed
a gentle dog laughed past,a gentle dog laughed
the zebras near the badgers danced past,the zebras near the badgers danced
the zebra laughed past,the zebra laughed
the chicken danced past,the chicken danced
a dog near her danced pres,a dog near her dances
most zebras hoped pres,most zebras hope
they died past,they died
the gentle gentle zebras hoped pres,the gentle gentle zebras hope
the chickens danced pres,the chickens dance
near them the badgers laughed pres,near them the badgers laugh
near the robins the clever zebras laughed pres,near the robins the clever zebras laugh
a robin hoped past,a robin hoped
the jocular chicken laughed pres,the jocular chicken laughs
with the zebras near them the dogs laughed pres,with the zebras near them the dogs laugh
with a zebra the zebra laughed past,with a zebra the zebra laughed
the frogs laughed pres,the frogs laugh
near a gentle dog a badger danced pres,near a gentle dog a badger dances
near a clever chicken a badger burped past,near a clever chicken a badger burped
they laughed past,they laughed
the chickens burped pres,the chickens burp
the zebra danced past,the zebra danced
the robins laughed past,the robins laughed
the humble dogs danced past,the humble dogs danced
most chickens near the lovely robins danced past,most chickens near the lovely robins danced
a zebra died pres,a zebra dies
near the dog with him a robin near them hoped past,near the dog with him a robin near them hoped
the dogs burped past,the dogs burped
near the zebras they hoped past,near the zebras they hoped
near the zebra the badger burped pres,near the zebra the badger burps
the humble clever kindly zebras hoped past,the humble clever kindly zebras hoped
most robins near the humble dogs coughed pres,most robins near the humble dogs cough
the zebra laughed pres,the zebra laughs
the frogs burped past,the frogs burped
she laughed past,she laughed
they laughed pres,they laugh
the clever chickens died past,the clever chickens died
they coughed past,they coughed
the robin laughed past,the robin laughed
most badgers laughed pres,most badgers laugh
a clever gentle chicken laughed past,a clever gentle chicken laughed
she died pres,she dies
the zebras near the chicken laughed past,the zebras near the chicken laughed
they laughed pres,they laugh
the zebra near a zebra laughed past,the zebra near a zebra laughed
a robin burped past,a robin burped
most humble clever jocular dogs hoped past,most humble clever jocular dogs hoped
she danced past,she danced
near a chicken near the lovely badgers a zebra danced past,near a chicken near the lovely badgers a zebra danced
the gentle chicken danced pres,the gentle chicken dances
the zebra near them laughed pres,the zebra near them laughs
a zebra laughed pres,a zebra laughs
the zebra hoped past,the zebra hoped
the zebras danced pres,the zebras dance
a zebra laughed pres,a zebra laughs
with a robin near him the zebra burped past,with a robin near him the zebra burped
the dogs laughed past,the dogs laughed
a badger laughed past,a badger laughed
she laughed pres,she laughs
the chicken with the gentle zebras laughed past,the chicken with the gentle zebras laughed
most badgers danced past,most badgers danced
a badger laughed past,a badger laughed
near the frogs most zebras laughed past,near the frogs most zebras laughed
the zebra danced pres,the zebra dances
with the zebras the dogs hoped past,with the zebras the dogs hoped
the dogs danced pres,the dogs dance
a badger near most gentle badgers danced past,a badger near most gentle badgers danced
most humble dogs coughed past,most humble dogs coughed
the zebras danced past,the zebras danced
the zebras died pres,the zebras die
a clever zebra laughed past,a clever zebra laughed
the humble kindly badgers hoped past,the humble kindly badgers hoped
he laughed pres,he laughs
near the badgers near a robin near a robin they coughed past,near the badgers near a robin near a robin they coughed
she laughed past,she laughed
they hoped past,they hoped
the zebras laughed past,the zebras laughed
a humble chicken laughed pres,a humble chicken laughs
the jocular zebras died past,the jocular zebras died
most robins hoped past,most robins hoped
he laughed pres,he laughs
a badger burped pres,a badger burps
near most clever zebras the robins with a dog laughed past,near most clever zebras the robins with a dog laughed
she hoped past,she hoped
a dog near them danced past,a dog near them danced
the zebra coughed pres,the zebra coughs
he laughed past,he laughed
the zebras with the zebra with the dogs laughed pres,the zebras with the zebra with the dogs laugh
near the zebras the jocular zebras coughed past,near the zebras the jocular zebras coughed
a badger danced past,a badger danced
the zebras danced past,the zebras danced
the clever clever badgers died past,the clever clever badgers died
the gentle lovely robin danced pres,the gentle lovely robin dances
with a zebra near a dog a frog danced pres,with a zebra near a dog a frog dances
a gentle robin danced pres,a gentle robin dances
near the chicken a zebra danced pres,near the chicken a zebra dances
the gentle humble frogs hoped pres,the gentle humble frogs hope
the zebras hoped pres,the zebras hope
with the zebra the gentle zebra laughed pres,with the zebra the gentle zebra laughs
near a badger a gentle badger died past,near a badger a gentle badger died
he danced pres,he dances
the badgers danced past,the badgers danced
most badgers near the zebras danced past,most badgers near the zebras danced
the gentle dogs laughed past,the gentle dogs laughed
he laughed pres,he laughs
the zebras coughed past,the zebras coughed
the gentle gentle dogs died past,the gentle gentle dogs died
a humble zebra laughed pres,a humble zebra laughs
a zebra near the gentle frogs laughed pres,a zebra near the gentle frogs laughs
he danced pres,he dances
the chickens hoped past,the chickens hoped
the robin danced past,the robin danced
the jocular zebras laughed past,the jocular zebras laughed
with most robins most chickens laughed pres,with most robins most chickens laugh
the robin laughed pres,the robin laughs
the badgers burped pres,the badgers burp
most gentle zebras hoped past,most gentle zebras hoped
most badgers with the chicken near the zebras laughed pres,most badgers with the chicken near the zebras laugh
the zebras near the zebras laughed pres,the zebras near the zebras laugh
near the dogs near the zebras the clever chickens danced pres,near the dogs near the zebras the clever chickens dance
the gentle gentle badgers hoped past,the gentle gentle badgers hoped
they danced pres,they dance
the frogs laughed pres,the frogs laugh
the zebras with him coughed past,the zebras with him coughed
the zebras died past,the zebras died
the chickens burped past,the chickens burped
the badgers laughed pres,the badgers laugh
most clever chickens hoped pres,most clever chickens hope
they laughed past,they laughed
she laughed past,she laughed
the chicken burped pres,the chicken burps
he laughed pres,he laughs
she hoped pres,she hopes
the badgers with the gentle zebra danced pres,the badgers with the gentle zebra dance
the dogs laughed past,the dogs laughed
they coughed past,they coughed
a lovely badger laughed past,a lovely badger laughed
most frogs near the lovely zebra laughed pres,most frogs near the lovely zebra laugh
most robins laughed past,most robins laughed
most gentle frogs danced past,most gentle frogs danced
the jocular humble dogs hoped pres,the jocular humble dogs hope
they burped pres,they burp
the badger near most clever gentle kindly frogs hoped past,the badger near most clever gentle kindly frogs hoped
a zebra hoped pres,a zebra hopes
he danced pres,he dances
they hoped past,they hoped
a zebra laughed past,a zebra laughed
with the humble zebras most zebras coughed past,with the humble zebras most zebras coughed
the zebra laughed pres,the zebra laughs
the zebras near a zebra danced past,the zebras near a zebra danced
a robin danced pres,a robin dances
the zebra laughed past,the zebra laughed
near her a clever jocular zebra laughed past,near her a clever jocular zebra laughed
most humble clever badgers burped pres,most humble clever badgers burp
they laughed past,they laughed
she danced pres,she dances
the robin with the zebra laughed past,the robin with the zebra laughed
a dog laughed past,a dog laughed
the kindly chickens burped pres,the kindly chickens burp
near the robins they died pres,near the robins they die
near the zebras the badgers with the zebras laughed pres,near the zebras the badgers with the zebras laugh
a gentle badger laughed past,a gentle badger laughed
most chickens laughed past,most chickens laughed
the robins laughed pres,the robins laugh
the jocular gentle dogs burped past,the jocular gentle dogs burped
the humble frogs hoped past,the humble frogs hoped
he hoped past,he hoped
most jocular badgers laughed past,most jocular badgers laughed
the zebra laughed past,the zebra laughed
the gentle dogs laughed pres,the gentle dogs laugh
the zebra hoped pres,the zebra hopes
the clever robins danced past,the clever robins danced
most gentle chickens laughed past,most gentle chickens laughed
the robins near him laughed pres,the robins near him laugh
near most chickens near the chickens they danced past,near most chickens near the chickens they danced
they coughed pres,they cough
a badger coughed pres,a badger coughs
most clever gentle frogs laughed past,most clever gentle frogs laughed
most zebras near the chickens near the zebras near a chicken laughed pres,most zebras near the chickens near the zebras near a chicken laugh
the dog with her laughed pres,the dog with her laughs
the badgers near the badgers died past,the badgers near the badgers died
a zebra coughed past,a zebra coughed
they coughed past,they coughed
the zebras near the robins danced pres,the zebras near the robins dance
they danced past,they danced
he hoped past,he hoped
the dogs with her coughed past,the dogs with her coughed
